,video_id,signer_id,duration,split,label_type,label,Handshape,Selected Fingers,Flexion,Flexion Change,Spread,Spread Change,Thumb Position,Thumb Contact,Sign Type,Path Movement,Repeated Movement,Major Location,Minor Location,Second Minor Location,Contact,Nondominant Handshape,Wrist Twist,SignBank Reference ID
27734,cjY606CePLSwKOZC39DO,57,1268,test,asllex,canada,a,t,,,,,Open,,One Handed,Straight,1,Body,Clavicle,,1,,0,677
55106,wGYrTiKWNonnkK8cVXdD,17,1689,train,asllex,top,open_b,imrp,Fully Open,0,0,0,Open,0,Asymmetrical Same Handshape,Straight,0,Hand,Finger Tip,,1,open_b,0,1256
30637,MRTXIXkFqgt6owx0INzJ,62,875,train,asllex,wine,w,p,Curved,0,,,Open,1,One Handed,Circular,1,Head,Cheek Nose,Cheek Nose,0,,0,2592
50390,Ngf7N66NWZQ4wdDIBlwP,84,1446,val,asllex,support_1,s,imrp,Fully Closed,0,,0,Closed,1,Asymmetrical Same Handshape,Straight,1,Hand,Finger Ulnar,Finger Ulnar,1,s,0,1147
31350,A2PZyD05Ikczl3DraZsY,30,1854,train,asllex,shampoo,curved_5,imrp,Curved,0,1,0,Open,0,Symmetrical Or Alternating,Straight,1,Head,Head Away,Head Away,0,curved_5,0,3077
58051,AwubNmCI1Brs5i9Ijgmv,80,2798,val,asllex,heap,c,imrp,Curved,0,0,0,Open,0,One Handed,Curved,0,Arm,Arm Away,Arm Away,0,,0,1774
83675,nGsoR5LSD78B7wcpIASj,30,1605,train,freetext,optional,,,,,,,,,,,,,,,,,,
27075,ojhXmWgjdq0uwAhiSoOF,84,2223,train,asllex,bone,bent_v,im,Bent,0,1,0,Closed,0,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,,1,bent_v,0,362
48786,ULzxOPsjhUUfB3ePNvH3,49,1784,train,freetext,doesnt_work,,,,,,,,,,,,,,,,,,
8193,RCHlIoS4ycr3JcpxBDJO,7,3014,train,asllex,awkward,3,im,Fully Open,0,1,0,Open,0,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,Neutral,0,3,0,2230
47323,ypXtrdB3BtORFuq4OOLm,76,2215,train,asllex,race,a,t,,,,,Open,,Symmetrical Or Alternating,None,1,Neutral,Neutral,Neutral,0,a,1,
19276,qSKPP2hvM6SBf3rnQRnM,84,2374,train,asllex,talk,4,imrp,Fully Open,0,1,0,Closed,0,One Handed,Straight,1,Head,Chin,,1,,0,289
3936,OczSQCvktTfHx9I7seiM,88,2116,val,signbank,1841,,,,,,,,,,,,,,,,,,
36276,Xf6eNMP8m5gepGHxtfsJ,88,2298,train,asllex,priest,g,i,Flat,0,,,Open,0,One Handed,Straight,1,Body,Neck,Body Away,0,,0,3046
30352,2b9NTiKUarF7x6qx3D9H,39,2587,train,asllex,old,o,imrp,Curved,1,0,0,Open,1,One Handed,Straight,0,Head,Chin,Head Away,0,,0,202
4299,u6eGsXz0vBaASTMlNTJZ,88,3889,train,asllex,history,h,im,Fully Open,0,0,0,Closed,0,One Handed,Curved,1,Neutral,Neutral,,0,,0,1766
56042,aVnOpgdSRspQF16cbTNk,39,2778,train,asllex,casual,5,imrp,Fully Open,0,1,0,Open,0,Symmetrical Or Alternating,Z-shaped,0,Neutral,Neutral,Neutral,0,5,0,1908
19776,aAG2m1CvW8i5iQC8lXMs,49,3397,val,asllex,baby,open_b,imrp,Fully Open,0,0,0,Open,0,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,Neutral,1,open_b,0,407
5584,xKHSalL60KVOmhy6LoCm,88,2318,val,signbank,3025,,,,,,,,,,,,,,,,,,
6728,JmFgcDn5jze7lB0Ai4c2,84,1937,train,asllex,potato,bent_v,im,Bent,0,1,0,Closed,0,Asymmetrical Different Handshape,Straight,1,Hand,Palm Back,,1,C,0,922
42314,1axSSRmL2lR31gHavqSb,8,1587,val,asllex,shark_1,closed_b,imrp,Fully Open,0,0,0,Closed,0,One Handed,Straight,1,Head,Head Top,,1,,0,2376
2142,MfBindUdHdcSmqN89MU4,35,2056,train,asllex,dog,d,mrp,Curved,,0,,Open,1,One Handed,None,1,Neutral,Neutral,,0,,0,376
83548,9hzpVQhc3Fyy1pRd8XsV,57,1829,test,freetext,on_way,,,,,,,,,,,,,,,,,,
43430,vWgqGl8ZZHZjcGyOTZ6S,76,3988,val,asllex,true_business,1,i,Fully Open,0,,,Closed,0,One Handed,None,0,Head,Mouth,Head Away,1,,0,837
32740,NwfatWutdzCHKqBRh1er,85,3312,train,asllex,arrive,open_b,imrp,Fully Open,0,0,0,Open,0,Asymmetrical Same Handshape,Circular,0,Hand,Hand Away,Finger Front,1,open_b,1,774
5887,FcxyfbAVFUDcAk7Qtcvp,48,2255,test,signbank,3347,,,,,,,,,,,,,,,,,,
60745,bmvgqyPHpb6urEEAcxFf,15,1286,train,asllex,same_same,y,p,Fully Open,0,,,Open,0,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,Neutral,0,y,0,
63949,of2OrjK20gvgRVNKRt2C,80,2060,train,asllex,point_index,flat_1,i,Flat,0,,,Closed,0,One Handed,Straight,0,Neutral,Neutral,Neutral,0,,0,
18555,UijMvPnAbTwmfTpTPFSU,80,1921,train,asllex,find,f,i,Curved,0,,,Open,1,One Handed,Straight,0,Neutral,Neutral,Neutral,0,,0,2916
4222,CCIej81wxD3o70mlmU6I,88,3698,val,signbank,2115,,,,,,,,,,,,,,,,,,
10574,Yxy0VPp8fg6Md6WJQqnv,64,1872,test,asllex,important,f,i,Curved,0,,,Open,1,Symmetrical Or Alternating,Curved,0,Neutral,Neutral,Neutral,1,f,1,1746
85119,qEqXzbKbvJ29OePbRhZs,84,2415,train,freetext,rain_forrest,,,,,,,,,,,,,,,,,,
34182,3gnMx1rFqmW0BsPIddv0,61,1273,test,asllex,metal,bent_1,i,Bent,0,,,Closed,0,One Handed,Straight,1,Head,Under Chin,Head Away,1,,0,2382
62518,9LavD0H5Q4QpOxI5atLe,60,1210,train,asllex,file_2,open_b,imrp,Fully Open,0,0,0,Open,0,Asymmetrical Different Handshape,Z-shaped,0,Hand,Hand Away,Hand Away,0,5,0,
4626,vajIscIt5BdSX7yQAYfO,62,1393,train,signbank,2303,,,,,,,,,,,,,,,,,,
9979,4oW6YzQBhW4doCvJT3BA,88,1442,train,asllex,me,1,i,Fully Open,0,,,Closed,0,One Handed,Straight,0,Body,Torso Top,,1,,0,
52561,NmYrmKN89FxdTrBSVCJA,30,2448,train,asllex,lunch_2,o,imrp,Curved,0,0,0,Open,1,One Handed,Straight,0,Head,Mouth,,1,,0,180
2165,COBXYUSgscSwoN9Wgf8m,49,1696,train,signbank,817,,,,,,,,,,,,,,,,,,
89154,FCHhpF9rYdQqMurMOpWJ,36,2386,test,freetext,top,,,,,,,,,,,,,,,,,,
9237,cweuukPC1ZCPLxxVitUD,84,1581,train,asllex,body,open_b,imrp,Fully Open,0,0,0,Open,0,Symmetrical Or Alternating,Straight,0,Body,Clavicle,Hips,1,open_b,0,788
90403,mrwDb5CXm1NlYrKlL4T9,63,1852,train,freetext,water pour,,,,,,,,,,,,,,,,,,
7948,0JdBNv6QQjY813GyoA2y,49,1187,train,asllex,surprise,baby_o,i,Curved,1,,,Open,1,Symmetrical Or Alternating,Straight,0,Head,Eye,Head Away,1,f,0,611
88962,d0xHdxiEDShnsxibc32s,57,2706,test,freetext,time,,,,,,,,,,,,,,,,,,
27323,WTQxdTEr2WhXGHY9od5C,12,2917,val,asllex,dirty,5,imrp,Fully Open,1,1,0,Open,0,One Handed,None,1,Head,Under Chin,,1,,0,109
26736,neb7mZ65hDeRnB14GZxU,49,1359,train,freetext,blood pressure,,,,,,,,,,,,,,,,,,
48786,wrsa5e7Lc05ZzKfFKrwa,30,1843,val,asllex,put,o,imrp,Curved,0,0,0,Open,1,Symmetrical Or Alternating,Curved,0,Neutral,Neutral,Neutral,0,o,0,
6123,K8apfMBHx3PjxjxoZf0K,64,1959,test,signbank,3476,,,,,,,,,,,,,,,,,,
61712,pfyTJ5BzJ7VaAk8sYmdV,59,2737,val,asllex,organization,o,imrp,Curved,0,0,0,Open,1,Symmetrical Or Alternating,Curved,0,Neutral,Neutral,Neutral,1,o,1,1529
39720,O8gmB0JgFwYHf7FBkBoY,30,1939,val,asllex,everyday,a,t,,,,,Open,,One Handed,Straight,1,Head,Cheek Nose,Head Away,1,,0,
47421,JzXE4Omp6qu7eYK7HIu6,49,1586,train,asllex,yawn_1,open_b,imrp,Fully Open,0,0,0,Open,0,One Handed,Straight,1,Head,Mouth,,1,,0,
38351,TnBH5iKC1DVIOneZiMtI,38,2984,train,asllex,hurt,1,i,Fully Open,0,,,Closed,0,Symmetrical Or Alternating,Circular,1,Neutral,Neutral,Neutral,0,1,0,489
42874,cAeG4kDJ33HOna2nb6jA,38,3807,val,asllex,dont_know,open_b,imrp,Fully Open,0,0,0,Open,0,Symmetrical Or Alternating,None,0,Head,Forehead,,1,open_b,0,113
34638,A3Zt6aLAAB1TyPSNUS3h,49,1157,val,asllex,believe,1,i,Fully Open,0,,,Closed,0,One Handed,None,0,Head,Forehead,,1,,0,1963
87664,hqxfgli6tOi5DYgSM475,88,3015,train,freetext,steal,,,,,,,,,,,,,,,,,,
90765,eO6xJBmjlvruJM1HCfjA,39,4025,train,freetext,wings,,,,,,,,,,,,,,,,,,
55946,uiwmm8g6DhAx11EI6HGZ,30,1664,train,asllex,accept,flatspread_5,imrp,Flat,1,1,1,Open,1,Symmetrical Or Alternating,Straight,0,Body,Torso Top,,1,flatspread_5,0,2045
30127,EPZJyfwM1NPdEZp1zzxg,60,1135,train,asllex,school,5,imrp,Fully Open,0,1,0,Open,0,Asymmetrical Same Handshape,Straight,1,Hand,Palm,,1,5,0,247
2821,TouK6Un4lfphRpOFfl3Q,88,4480,val,signbank,1203,,,,,,,,,,,,,,,,,,
61002,LfulRKGHGIx8nksEPWtA,84,1584,val,asllex,celebrate,bent_1,i,Bent,0,,,Closed,0,Symmetrical Or Alternating,Circular,1,Head,Head Away,Head Away,0,bent_1,0,1045
38582,tBLDiOiRmrptnZMw33O2,36,2448,test,asllex,story_1,8,m,Flat,1,,,Open,1,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,Neutral,1,8,1,275
8908,MjFpn75aleDmoXfQq9GA,57,1485,test,asllex,learn,flatspread_5,imrp,Flat,1,1,1,Open,0,Asymmetrical Different Handshape,None,0,Hand,Palm,,1,B,0,170
20695,eohZ6sXWcgBXJalMKVWp,39,2184,train,asllex,letter,a,t,,,,,Open,,One Handed,None,0,Head,Mouth,,1,,0,356
47129,lrAUg3L7tT5NlXHBuagB,61,2557,test,asllex,plate,curved_l,i,Curved,0,,,Open,0,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,Neutral,0,curved_l,0,906
42423,tZohzMJoWTLhg1uwjLtX,27,3310,train,asllex,plan,open_b,imrp,Fully Open,0,0,0,Open,0,Symmetrical Or Alternating,Straight,0,Neutral,Neutral,Neutral,0,open_b,0,905
27480,kbZqeKeFYq1xSvW4ml4O,35,1398,train,asllex,dirty,5,imrp,Fully Open,1,1,0,Open,0,One Handed,None,1,Head,Under Chin,,1,,0,109
3166,SbaUo16wbXHDOPK0bKo6,36,2048,test,signbank,1388,,,,,,,,,,,,,,,,,,
401,r2r419bdKCnsfvD4nZUk,57,3015,test,asllex,tie,flat_h,im,Flat,0,0,0,Closed,0,One Handed,Curved,0,Body,Clavicle,Torso Mid,1,,0,3143
72058,lwIygQSCUuKvX5eQmc2P,7,2083,val,freetext,heat,,,,,,,,,,,,,,,,,,
28454,r7a3UWLdtu8mJ5RAkk2E,53,1640,test,asllex,lecture,open_b,imrp,Fully Open,0,0,0,Open,0,One Handed,Curved,1,Neutral,Neutral,Neutral,0,,0,2426
67290,cdFXh3mfcSoYNOTw4CBw,8,1803,val,freetext,geese,,,,,,,,,,,,,,,,,,
90126,tDfqzIGxhSlwBsRyzMB0,39,2041,train,freetext,very_yellow,,,,,,,,,,,,,,,,,,
37619,30GpF7Tpp2XzaSaOO65K,7,3188,val,asllex,buy,flat_o,imrp,Flat,0,0,0,Open,1,Asymmetrical Different Handshape,Straight,0,Hand,Palm,,1,B,0,424
29397,FiuXsGcIBoixJcjhzafY,78,2640,train,asllex,happy,open_b,imrp,Fully Open,0,0,0,Open,0,One Handed,Curved,1,Body,Torso Top,Body Away,1,,0,476
8962,TpdPYUKqXYdmmGBVsTMy,52,4289,train,asllex,learn,flatspread_5,imrp,Flat,1,1,1,Open,0,Asymmetrical Different Handshape,None,0,Hand,Palm,,1,B,0,170
31213,cP8dgcfZAUntcJiZ5imf,84,1201,val,asllex,small,c,imrp,Curved,0,0,0,Open,0,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,Neutral,0,c,0,174
89658,hRfBGlIeyOEWi43qVL4Q,59,2174,train,freetext,twilight,,,,,,,,,,,,,,,,,,
8266,pEqiC61gjAEyYyjkeOxI,49,1727,train,asllex,favorite,open_8,m,Flat,0,,,Open,0,One Handed,Straight,1,Head,Chin,,1,,0,225
35249,bROUuYTxnnSeoT79FyIe,7,3376,train,asllex,ear,baby_o,i,Bent,0,,,Open,1,One Handed,Straight,1,Head,Other,,1,,0,2752
56705,y2ZwseJuNUwx7DFfU00t,57,1417,test,asllex,all_day,open_b,imrp,Fully Open,0,0,0,Open,0,One Handed,Curved,0,Neutral,Neutral,Neutral,0,,0,7
48381,00bV5yyb3fXxQXkRSQae,61,2122,test,asllex,ride_1,curved_v,im,Curved,0,1,0,Closed,0,Asymmetrical Different Handshape,Straight,0,Hand,Finger Ulnar,,1,C,0,240
45945,B4yzSNatN8ZtosXFX5Oa,38,3549,train,asllex,mad,5,imrp,Fully Open,1,1,0,Open,0,One Handed,Curved,0,Head,Head Away,Head Away,0,,0,183
13554,qQsWaOSuRT3hjYpitiFa,31,2216,train,asllex,boss,curved_5,imrp,Curved,0,1,0,Open,0,One Handed,Straight,1,Body,Shoulder,,1,,0,556
14241,8QCpVCyIRsSoySjJWBrj,62,1290,val,freetext,all,,,,,,,,,,,,,,,,,,
87842,uLZOvSF9Sk96OWOJUE8u,31,1873,val,freetext,stretch,,,,,,,,,,,,,,,,,,
80977,9XM0sX6xQyuexHFszVRQ,54,2336,val,freetext,look_around,,,,,,,,,,,,,,,,,,
56020,YBmDD4zUjKKkcK6xrC9j,39,3158,val,asllex,long_word,1,i,Fully Open,0,,,Closed,0,Symmetrical Or Alternating,Straight,0,Neutral,Neutral,Neutral,0,1,0,176
27321,LFjkp0zbWkHiCjxqa2gm,64,1600,test,freetext,c,,,,,,,,,,,,,,,,,,
3693,xqtOhi5HuEkAdVhsGgiY,15,1392,train,signbank,1643,,,,,,,,,,,,,,,,,,
88181,Q2tSqZ955xJqFhNtO2v8,7,2398,train,freetext,swollen,,,,,,,,,,,,,,,,,,
17211,g9hhc46lhbvkEDiub0Lx,36,1703,test,asllex,check,1,m,Curved,0,,,Open,1,Asymmetrical Different Handshape,Back And Forth,0,Hand,Finger Front,Hand Away,1,B,1,1059
2611,LAieJHilAQPFQTXrj3Un,31,1511,train,signbank,1117,,,,,,,,,,,,,,,,,,
89355,HWziJYuhDNqh5c08p4wO,39,5879,train,freetext,tres,,,,,,,,,,,,,,,,,,
46919,8amNC1HlnXsKkd4pzgz9,8,1401,train,asllex,big,bent_l,i,Bent,0,,,Open,0,Symmetrical Or Alternating,Curved,0,Neutral,Neutral,Neutral,0,bent_l,1,772
61351,8kWbPQEsghSyDTJQZlRk,62,1217,train,asllex,long_time,y,p,Fully Open,0,,,Open,0,One Handed,Straight,0,Head,Forehead,Head Away,1,,0,175
53577,r5yXjYPw3KX1o9ROxXzn,54,1946,val,asllex,nice,open_b,imrp,Fully Open,0,0,0,Open,0,Asymmetrical Same Handshape,Straight,0,Hand,Palm,Finger Front,1,open_b,0,198
28518,EpokxkpY2kMzTzwj4Xan,49,1515,val,asllex,drop,s,imrp,Fully Closed,1,,1,Closed,1,Symmetrical Or Alternating,Straight,0,Neutral,Neutral,Neutral,0,s,0,121
20351,MD4VeAG7PZm9Pwni0dQL,84,1215,val,asllex,pretty,5,imrp,Fully Open,1,1,1,Open,1,One Handed,None,0,Head,Head Away,Head Away,0,,0,227
85691,GA4yQxt4KNV3YexlEVzK,31,2326,val,freetext,rollercoaster,,,,,,,,,,,,,,,,,,
85295,xjPk4wpQXtg1BK0hlWLj,7,2577,val,freetext,rectangle,,,,,,,,,,,,,,,,,,
32451,X3Oy9zJZfIWyMXj9rfrw,7,2137,val,asllex,copy,flatspread_5,imrp,Flat,0,1,1,Open,1,Asymmetrical Different Handshape,Straight,0,Hand,Palm,Hand Away,1,B,0,1165
30156,eIZfPQUdm5H1RMCTCxCr,17,1185,val,asllex,school,5,imrp,Fully Open,0,1,0,Open,0,Asymmetrical Same Handshape,Straight,1,Hand,Palm,,1,5,0,247
41980,WXEkXKatusrw5dOGuxDt,39,2197,train,asllex,nine,f,i,Curved,0,,,Open,1,One Handed,None,1,Neutral,Neutral,,0,,0,1570
57360,4jQVQP4W9UHedQKn5rau,17,1892,train,asllex,barely,f,i,Curved,0,,,Open,1,One Handed,Straight,0,Head,Head Top,Head Away,1,,0,650
56446,d1h8gg6e7vsxPxJ7bMsG,46,2058,val,asllex,precious,curved_5,imrp,Curved,1,1,1,Open,1,One Handed,Straight,0,Head,Chin,Head Away,1,,0,923
14782,HQOmn5WG4uWs9LO0CNjk,7,2230,val,asllex,bad,open_b,imrp,Fully Open,0,0,0,Open,0,One Handed,Curved,0,Head,Chin,Head Away,1,,1,29
41441,5Mt7m7FnldF3FMFvI09m,61,2011,test,asllex,danger,a,t,,,,,Open,,Asymmetrical Different Handshape,Curved,1,Hand,Palm Back,Hand Away,1,B,0,2474
62383,O9qwbvPU0bLjpBSHi4Lp,61,1865,test,asllex,develop_1,closed_b,imrp,Fully Open,0,0,0,Closed,0,Asymmetrical Same Handshape,Straight,0,Hand,Palm,Hand Away,1,closed_b,0,1251
59468,WqpuLgcG8AwlVonQUlQ5,84,1234,train,asllex,dominant,s,imrp,Fully Closed,0,,0,Closed,1,Symmetrical Or Alternating,Straight,0,Neutral,Neutral,Neutral,0,s,0,1269
36836,zBcryfm3Hi5HHo5rZGYs,57,2370,test,asllex,elegance,5,imrp,Fully Open,0,1,0,Open,0,One Handed,Curved,1,Body,Torso Top,Body Away,1,,0,1382
9913,GwaOtcdTrKqdwOgSaqrU,49,986,val,asllex,bug,3,im,Fully Open,1,1,0,Open,0,One Handed,None,1,Head,Cheek Nose,,1,,0,422
26016,mw2sRgntAJg2u8N3GrJ2,52,2866,train,asllex,cold,s,imrp,Fully Closed,0,,0,Open,1,Symmetrical Or Alternating,Straight,1,Body,Body Away,,0,s,0,432
136,Wo8NdGd0gsmRKXcf6QU0,49,1334,train,signbank,41,,,,,,,,,,,,,,,,,,
39298,DwPpkSXYkpmkFC1h4vPp,61,1400,test,freetext,cloth,,,,,,,,,,,,,,,,,,
734,vtjERIkVHK9RYT64hw3h,61,3211,test,signbank,324,,,,,,,,,,,,,,,,,,
67594,iZ5aQWUlFVVB9z80XkUO,35,1670,train,freetext,goldfish,,,,,,,,,,,,,,,,,,
71835,rdBydtszy2syCP7eaELe,38,3746,train,freetext,hang,,,,,,,,,,,,,,,,,,
59284,4DZ0D86c76SDHHqmdeZY,17,2152,train,asllex,cross_heart,flat_1,i,Flat,0,,,Closed,0,One Handed,X-shaped,0,Body,Torso Top,Torso Top,1,,1,1985
38495,sJfvNlb9WzLdG0ILbgyM,42,1904,train,freetext,camera,,,,,,,,,,,,,,,,,,
58942,NoqF0BSUeqVc8ds4XcaT,39,2069,train,asllex,grow_up,open_b,imrp,Fully Open,0,0,0,Open,0,One Handed,Straight,0,Neutral,Neutral,Neutral,0,,0,735
55145,t50Kpg4T1ka5jQ2Me8Li,39,2820,val,asllex,total,flatspread_5,imrp,Flat,1,1,1,Open,1,Symmetrical Or Alternating,Straight,0,Neutral,Neutral,Neutral,1,flatspread_5,0,660
42854,U8wVqkgmzkRnos5XQOss,61,2967,test,asllex,goal,1,i,Fully Open,0,,,Closed,0,Symmetrical Or Alternating,Straight,0,Head,Forehead,Head Away,1,1,0,854
41515,Ir0OGhoLH2kfy5aGxTjN,49,1324,train,asllex,empty_1,open_8,m,Flat,0,,,Open,0,Asymmetrical Different Handshape,Straight,0,Hand,Palm Back,Finger Back,1,B,0,124
42147,ICWnfZV3Ia2Qm70WP4EA,62,1168,train,asllex,technology,open_8,m,Flat,0,,,Open,0,Asymmetrical Different Handshape,Straight,1,Hand,Finger Ulnar,,1,S,0,1183
91125,HltApmjJI8zmk65AdbdG,88,4081,val,freetext,zebra,,,,,,,,,,,,,,,,,,
37519,StYVkgObcZsmxo0APvuk,88,1776,train,asllex,knitting,1,i,Fully Open,0,,,Closed,0,Symmetrical Or Alternating,None,1,Neutral,Neutral,,1,1,1,2989
80448,JN7NpY749i0X6g27nMjR,14,1935,val,freetext,lead,,,,,,,,,,,,,,,,,,
61355,oCyh7B3JhPiXnBIaGzJJ,30,1800,train,freetext,far1,,,,,,,,,,,,,,,,,,
34826,9fy4lerh9QtXLBrheMOI,62,1411,train,asllex,impact,s,imrp,Fully Closed,0,,0,Closed,1,Asymmetrical Different Handshape,Back And Forth,0,Hand,Finger Radial,Hand Away,1,1,0,149
87215,IRc8sSqoQ95PXXztnYvs,52,4094,val,freetext,sore,,,,,,,,,,,,,,,,,,
46727,tQO9rNJ8JrZWX1z8au4h,49,1294,train,asllex,tomorrow,a,t,,,,,Open,,One Handed,Curved,0,Head,Cheek Nose,Head Away,0,,0,301
54820,vPo1FRM8ZS1y0cxWaZtP,15,1103,train,asllex,ponder,curved_5,imrp,Curved,1,1,0,Open,1,Symmetrical Or Alternating,None,1,Head,Head Away,,0,curved_5,0,915
49247,76gmLZAALnAaw6BXCze0,84,2093,train,asllex,law,l,i,Fully Open,0,,,Open,0,Asymmetrical Different Handshape,Curved,0,Hand,Finger Front,Palm,1,B,0,1687
993,oqWKtVZoAt3PqTZ3xm8J,62,1000,train,asllex,book,open_b,imrp,Fully Open,0,0,0,Open,0,Symmetrical Or Alternating,Curved,1,Neutral,Neutral,Neutral,1,open_b,1,418
20444,GritvMDn0HdZZUQgS9oM,7,2128,train,asllex,family,f,i,Curved,0,,,Open,1,Symmetrical Or Alternating,Curved,0,Neutral,Neutral,Neutral,1,f,1,1379
2319,4Rs9FCPuw2K71F43QYj2,84,1352,val,asllex,diamond,d,m,Curved,0,,,Open,1,Asymmetrical Different Handshape,Straight,0,Hand,Finger Back,Hand Away,1,B,1,2475
90183,CNQsws5aERrk93FZN7LZ,30,2291,train,freetext,view,,,,,,,,,,,,,,,,,,
63659,g9pxYhVTLUrI6gEdXvoL,38,3602,val,asllex,carve,baby_o,i,Bent,0,,,Open,1,Asymmetrical Different Handshape,Curved,1,Hand,Hand Away,Hand Away,0,S,1,
83440,ioI36YHtFkOu3SjDvo0U,39,4323,train,freetext,oh_i_see,,,,,,,,,,,,,,,,,,
77494,DbrSzZUJTfmg0MgAKDjc,49,1702,train,freetext,just_go,,,,,,,,,,,,,,,,,,
61565,XpWVvwtqmdLMHUHwtcRb,49,1684,train,freetext,fence,,,,,,,,,,,,,,,,,,
16205,MDCWcGwRPvFcSrQJktzU,80,3420,val,asllex,set_up,a,t,,,,,Open,,Asymmetrical Different Handshape,Circular,0,Hand,Hand Away,Palm Back,1,B,1,1023
88922,342qssvQ5tC7I58JwRpv,49,1980,train,freetext,tie_back,,,,,,,,,,,,,,,,,,
45948,eRl7iOmskiqMAir7T7qu,80,2192,val,asllex,mad,5,imrp,Fully Open,1,1,0,Open,0,One Handed,Curved,0,Head,Head Away,Head Away,0,,0,183
39700,vxcxeEvAIPkse7hVOGvy,38,3828,train,freetext,cook hotdog,,,,,,,,,,,,,,,,,,
37966,4ug6wgWLmE1ovRvG4I2P,26,2771,train,asllex,house,flat_b,imrp,Flat,1,0,0,Open,0,Symmetrical Or Alternating,Curved,0,Neutral,Neutral,Neutral,1,flat_b,0,486
86804,vp0B6JHFpDtUvzyOjVib,49,1417,train,freetext,ski,,,,,,,,,,,,,,,,,,
42617,bhtUuwT3KhPpicG1MDXV,7,3062,train,asllex,zoo,1,i,Fully Open,,,,Closed,0,One Handed,Z-shaped,0,Neutral,Neutral,Neutral,0,,0,
9891,PGd3LUUC3dt1pkIBsJG8,7,2501,train,asllex,person,p,im,Stacked,0,,0,Open,1,Symmetrical Or Alternating,Straight,0,Neutral,Neutral,Neutral,0,p,0,888
253,G1NGcGASerJ89j8gUvcO,39,2502,train,signbank,130,,,,,,,,,,,,,,,,,,
59758,ecdkJm2CVYohHFR95cSV,84,1315,train,asllex,qm,1,i,Fully Open,1,,,Closed,0,One Handed,None,1,Neutral,Neutral,,0,,0,529
45537,OIc5BMXFzjvzPRKmkSPN,84,1817,train,asllex,cut_2,v,im,Fully Open,0,1,1,Closed,0,Asymmetrical Different Handshape,Curved,0,Hand,Finger Tip,Hand Away,1,1,0,99
39703,0Ib760zeNzM8moZSSbdN,8,1253,val,freetext,cooker,,,,,,,,,,,,,,,,,,
86218,wIwJcUQ4dwPNTRvL1FZZ,39,3521,train,freetext,seek,,,,,,,,,,,,,,,,,,
50659,LpO9Qw4pI4LFaauTR2HB,84,2065,train,asllex,long,1,i,Fully Open,0,,,Closed,0,One Handed,Curved,0,Arm,Forearm Back,Arm Away,1,,0,177
58191,G0uh64hxxZExvTd7kqE4,57,3202,test,asllex,group,g,i,Flat,0,,,Open,0,Symmetrical Or Alternating,Curved,0,Neutral,Neutral,Neutral,1,g,1,643
300,1bNWJK4xDVu21Z1mXsCz,62,1469,train,asllex,cup,c,imrp,Curved,0,0,0,Open,0,Asymmetrical Different Handshape,Straight,1,Hand,Palm,,1,B,0,388
39486,lyvUfGdM6WbDny2gi4SB,57,1710,test,freetext,communist,,,,,,,,,,,,,,,,,,
322,ExEdYh17039LrFwO4OZA,35,1383,val,signbank,167,,,,,,,,,,,,,,,,,,
29466,NLNHzwDyaKAEl3Qz8bJW,8,1689,train,asllex,happy,open_b,imrp,Fully Open,0,0,0,Open,0,One Handed,Curved,1,Body,Torso Top,Body Away,1,,0,476
3090,VXC74AxTk1eRBoNb5QCe,17,1668,train,signbank,1376,,,,,,,,,,,,,,,,,,
54430,70G027b202m4R5Fh7Ukx,53,1725,test,asllex,scold,1,i,Fully Open,0,,,Closed,0,One Handed,Straight,1,Neutral,Neutral,,0,,0,1889
85791,MwuvITDC1DbgKIwR4oLG,84,2268,train,freetext,ruler,,,,,,,,,,,,,,,,,,
50134,RVirvKKlOgWgrqzAupe4,88,2309,val,asllex,stare,flat_v,im,Flat,0,1,0,Closed,0,One Handed,Straight,0,Head,Cheek Nose,Head Away,1,,0,538
33710,GhoICaa47KTOX9BfAIAe,30,1719,train,asllex,alone,1,i,Fully Open,0,,,Closed,0,One Handed,Circular,0,Neutral,Neutral,Neutral,0,,1,2065
38658,sbOY1tXSZJwsTXSrfIqM,14,2478,val,freetext,car_turn,,,,,,,,,,,,,,,,,,
30027,I3gkTKjGBeYTyOBLBGG6,8,1809,train,asllex,school,5,imrp,Fully Open,0,1,0,Open,0,Asymmetrical Same Handshape,Straight,1,Hand,Palm,,1,5,0,247
83093,2cCTOFP0gRvkwOIcRq41,84,2214,train,freetext,not_often,,,,,,,,,,,,,,,,,,
9402,AyNCsJPujWg2NH1FBoLx,46,2155,train,asllex,good,open_b,imrp,Fully Open,0,0,0,Open,0,One Handed,Straight,0,Head,Chin,Head Away,1,,0,472
81403,kph8CTSOjEiLnGtqbpEn,49,1647,train,freetext,many_partners,,,,,,,,,,,,,,,,,,
52994,990kHfjnpLHSF4M8EA9S,7,2331,train,asllex,disappoint,1,i,Fully Open,0,,,Closed,0,One Handed,Straight,0,Head,Chin,,1,,0,1258
